geoapify_place_id,name,address,postcode,borough,latitude,longitude,website,opening_hours,category
51861e317a6ea1bfbf5987dee2e13dc14940f00103f901aeff319700000000920312426c61636b20536865657020436f66666565,Black Sheep Coffee,"Black Sheep Coffee, 425 Strand, London, WC2R 0QE, United Kingdom",WC2R 0QE,St Clement Danes,51.509701,-0.123557,https://blacksheepcoffee.co.uk/blogs/locations/strand,,catering.cafe.coffee_shop
513184526ae514c1bf59d267aca2e4c04940f00103f901858460f40000000092030c436166652053707265616473,Cafe Spreads,"Cafe Spreads, 15A Pall Mall, London, SW1Y 5LU, United Kingdom",SW1Y 5LU,St. James's,51.5069774,-0.1334502,,,catering.cafe
5162314514eef0c0bf593d5fb35c36c14940f00103f9019b9d7b230000000092030b43616666c3a8204e65726f,Caffè Nero,"Caffè Nero, 27 Haymarket, London, SW1Y 4SP, United Kingdom",SW1Y 4SP,St. James's,51.5094715,-0.1323526,https://www.caffenero.com/uk/stores/haymarket,Mo-Th 06:30-21:00; Fr-Sa 06:30-22:00; Su 07:00-21:00,internet_access
51f34b0ee9013dc0bf597961c66f65c14940f00103f901f0a14bbc0000000092030e4b6f736861726920537472656574,Koshari Street,"Koshari Street, 56 St Martin's Lane, London, WC2N 4EA, United Kingdom",WC2N 4EA,,51.5109081,-0.1268618,https://www.kosharistreet.com/,Mo-Sa 11:30-21:30; Su 12:00-20:00,vegetarian
5187f0790fe1a9bfbf597b05589a4ac14940f00103f9018a3aa3f90200000092031a437265616d20566567616e20506173747269657320436166c3a9,Cream Vegan Pastries Café,"Cream Vegan Pastries Café, 46 Bedford Street, London, WC2E 9HA, United Kingdom",WC2E 9HA,St Clement Danes,51.5100892,-0.1236859,,,vegan
51b257699c97d4c0bf597fbc57ad4cc14940f00103f9010deaaa2101000000920305436f737461,Costa,"Costa, 39 Coventry Street, London, W1D 6BZ, United Kingdom",W1D 6BZ,St. James's,51.5101525,-0.1314878,,,catering.cafe.coffee_shop
518cc7fb276ecbc0bf59d17af83251c14940f00103f9015817fcfb0200000092030754574720546561,TWG Tea,"TWG Tea, Swiss Court, London, WC2H 7LT, United Kingdom",WC2H 7LT,St. James's,51.5102905,-0.1312082,,Mo-Su 10:00-21:00,commercial.food_and_drink.coffee_and_tea
51f20e8bab9cd5bfbf59bae1dbdd56c14940f00102f901964e151d0000000092030b43616666c3a8204e65726f,Caffè Nero,"Caffè Nero, 10 Bedford Street, London, WC2E 9HE, United Kingdom",WC2E 9HE,St Clement Danes,51.5104886,-0.1243774,https://www.caffenero.com/uk/stores/bedford-st,Mo-Fr 06:30-21:00; Sa 07:00-21:30; Su 08:00-21:00,internet_access
51ba49b148b835c0bf5936c2ecaf68c14940f00103f9012cb9f430000000009203064b6e6f6f7073,Knoops,"Knoops, 2a New Row, London, WC2N 4LA, United Kingdom",WC2N 4LA,,51.5110073,-0.1266394,https://knoops.co.uk/,,catering.cafe
5169c9b42b54b7bfbf5957531ab051c14940f00102f901cf324b210000000092030f536f686f20436f6666656520636f2e,Soho Coffee co.,"Soho Coffee co., 41-42 Bedford Street, London, WC2E 9HA, United Kingdom",WC2E 9HA,St Clement Danes,51.5103048,-0.1238909,,"Mo-Th 07:00-18:30, Fr 07:00-17:30, Sa 09:30-17:00, Su 10:00-16:00",catering.cafe
51aa66310cb32bc0bf593b376dc669c14940f00103f901815a666701000000920308574120636166c3a9,WA café,"WA café, 5 New Row, London, WC2N 4LH, United Kingdom",WC2N 4LH,,51.5110405,-0.1263336,https://wacafe.co.uk/,Mo-Su 10:30-19:00,commercial.food_and_drink.bakery
51b7d4415e0f26c0bf59644051346ac14940f00103f90128b9f4300000000092030a53616e7461204e617461,Santa Nata,"Santa Nata, 7 New Row, London, WC2N 4LH, United Kingdom",WC2N 4LH,,51.5110536,-0.1261615,https://santanata.com/,Mo-Su 10:00-22:00,catering.cafe
5114b188618731c0bf59571696896cc14940f00103f901b95966670100000092030e4b6973732074686520486970706f,Kiss the Hippo,"Kiss the Hippo, 24 New Row, London, WC2N 4LA, United Kingdom",WC2N 4LA,,51.5111248,-0.1265115,,Mo-Fr 08:00-18:00; Sa 09:00-18:00; Su 10:00-18:00,wheelchair.yes
51228f3b003d68bfbf59e5c63e1240c14940f00103f901663a4f9c02000000920313426c616e6b2053747265657420436f66666565,Blank Street Coffee,"Blank Street Coffee, 65-72 Strand, London, WC2N 5LR, United Kingdom",WC2N 5LR,St Clement Danes,51.5097678,-0.1226843,,,catering.cafe.coffee_shop
5169e55e605628c0bf597ba4c16d6dc14940f00103f901e9b702f10200000092031751696d61204361666520436f76656e742047617264656e,Qima Cafe Covent Garden,"Qima Cafe Covent Garden, 21-22 New Row, London, WC2N 4LE, United Kingdom",WC2N 4LE,,51.511152,-0.126231,https://qimacafe.com/,Mo-Fr 08:00-19:00; Sa 09:00-19:00; Su 09:00-17:00,internet_access
51e680c4cbdf60bfbf596a2639d740c14940f00102f901f3c54c040000000092030b43616666c3a8204e65726f,Caffè Nero,"Caffè Nero, 65-72 Strand, London, WC2N 5LR, United Kingdom",WC2N 5LR,St Clement Danes,51.5097911,-0.1225717,https://www.caffenero.com/uk/stores/strand,Mo-Fr 06:30-19:30; Sa 07:30-19:30; Su 07:30-18:30,wheelchair.yes
5121b30ea2105cc0bf597203f4b171c14940f00103f901cb8e39290000000092030943616665204b6f6861,Cafe Koha,"Cafe Koha, 11-12 St Martin's Court, London, WC2N 4AJ, United Kingdom",WC2N 4AJ,,51.5112822,-0.1278096,,,wheelchair.limited
516ea873a0e293c0bf59fdb0efd46dc14940f00103f901d19812420200000092030c42656e202026204a65727279,Ben  & Jerry,"Ben  & Jerry, Leicester Square, London, WC2H 7NA, United Kingdom",WC2H 7NA,St. James's,51.5111643,-0.1295131,,,vegetarian
